HOTEL_name,CITY_name,COUNTRY_name,PRICE_range,HOTEL_rating,amneties,HOTEL_address,HOTEL_review
Dream Vision Guest House,Diu,India,,4.2/5,"Power backup,Restaurant/Coffee Shop,Laundry Service,CCTV surveillance,","Dr Kelkar road, Opp Telephone Exchange (BSNL Office), Diu - 362520 View on Map",This is one of the best guest house in diu....with good staff services.....good and clean room.... food is good... there is small garden in the sitting area...charges are not so much... no problem of hot water in winter... anyone can book easily.... many visiting places are near from this guest house.... I am happy to stay here...Thank you.
Hotel Ambalika,Katra,India,,2.4/5,,"Jammu Road,Katra - 182301 View on Map","I received the call 2 hours prior to my check in time with the information that they have cancelled my booking.
Very poor experience."
Hotel Great Punjab,"Aurangabad, Maharashtra",India,,3.8/5,"Power backup,Restaurant/Coffee Shop,Laundry Service,CCTV surveillance,","opp Railway station, Aurangabad - 431005 View on Map","There was no hot water ,very dirty bathroom,leaking washbasin ,broken TV,torn bedsheet and smelly blanket..Worst experience."
Hotel Manglam,Jaisalmer,India,,4.2/5,"Doctor On Call,Air Conditioning,Parking Facility,CCTV surveillance,","Outside Amar Sagar Gate, Hanuman circle, Jaisalmer - 345001 View on Map","The rooftop offers beautiful views of Jaisalmer and the owner often gives me chai and mineral water. You can also book a tour of the Camel Safari. The rooms are large and the beds are clean. There is no toilet paper, but you can get one if you ask the owner. There is a TV and air conditioning. The noise of Jaisalmer can be felt from the window"
Monad,Calicut,India,,2.5/5,"Power backup,Banquet hall,Business Services,Restaurant/Coffee Shop,","Near IIM Karanthur P, Kunnamangalam Kozhikode Kerala - 673571 View on Map",Food wasn't great. Accommodation was only okayish for the price
Naturecraft Homestay,Chikmagalur,India,,4/517,"CCTV surveillance,Power backup,Outdoor Activities,Dining,","Naturecraft Homestay Mallandur Road ,Joldalu post,Chikmagalur district.pin 577130 View on Map","A simplified review-
Great but wouldn't call it a value for money.
1. The property is easily accessible and is huge. It was monsoon, August, when we visited, so there was not much do, the falls etc were closed for tourist. Nor did the property had much to explore.
2. The rooms are spacious but average, they felt musty because of rains. There are around 10 beddings accomodated in two rooms. Both the bathrooms are attached to one room. The place was very clean but there could have been a little ...more"
Alfa Regal Hotel,Rohtak,India,,3.4/5,"Doctor On Call,Air Conditioning,Parking Facility,Banquet hall,","Sukhpura Chowk, Jind ByePass road near power house., Rohtak - 124001 View on Map","good location net and clean room and staff very good
service too much
testy food"
Hotel Shrimaya,Bhopal,India,,4.2/5,"Air Conditioning,Parking Facility,Restaurant/Coffee Shop,Laundry Service,","3,hamidia Road,near alpana cineplex, Bhopal - 462001 View on Map","Nice stay,close to Bhopal railway station, Good staff,clean rooms,good staff"
Shri Shankar Guest House,Ujjain,India,,,"CCTV surveillance,Power backup,Indoor Entertainment,Room Service,","Hari Fatak Road,Begum Bagh Colony, Mahakal Road, Ujjain - 456006 View on Map",
Polo Premier Guest House,Delhi,India,,2.4/5,"Daily housekeeping,Room Service,Internet,","C 29, Sarita Vihar (Near Axis Bank ATM C-Pocket Market), Delhi - 110076 View on Map","1.Bathroom locker not work
2.Cleaning not mentain
3.for bath sop & shamoo not avalable
Afer demand he talk bithout money not avalble
4. Bed sheet not avalble
Itc."
Kastle Guest House,Delhi,India,,4/516,"Power backup,Parking Facility,Restaurant/Coffee Shop,Laundry Service,","16, Daryaganj, Delhi - 110002 View on Map",Staff was very supportive throughout our stay at i can bet you cannot get a bigger room than this in delhi. the washroom needs an improvement goof stay
Hotel Shri Amarnath,Jammu,India,,3.2/5,"Air Conditioning,Parking Facility,Laundry Service,Smoking Rooms Available,","Trikuta Nagar, Near Railway Station, Jammu - 180010 View on Map",Hotel is located at a walkable distance from the Railway Station. Services are good. Convenient location and helpful staff.
Shimla Resorts,Lucknow,India,,,"Doctor On Call,Air Conditioning,Parking Facility,Banquet hall,","732 Sultanpur Road near shaeed path ,Ahimamau,Lucknow - 226002 View on Map",
Welcomheritage Lha - Ri - Sa Resort,Leh,India,,4.3/5,"Air Conditioning,Swimming Pool,Parking Facility,Outdoor Activities,",Skara Leh Leh 194101 View on Map,"Very good hotel food alos very good
I like this hotel when i come agin i stay this hotel only its very near to airport"
Hotel Anand,Amritsar,India,,,"Air Conditioning,Room Service,Internet,",opp. bus stand Amritsar 143001 View on Map,
HOTEL SURYA,Port Blair,India,,2.7/5,"Air Conditioning,Restaurant/Coffee Shop,Laundry Service,Dining,","Phoenix Bay, Port Blair - 744101 View on Map","not satisfied with hotel @ all its has no phone, min bar & if need order some thing need to go all way down to reception."
Beach village holiday homes,Goa,India,,,"Laundry Service,Free Internet,Power backup,Daily housekeeping,","198/3,Madel ,Sernabatim ,Colva, Goa - 403706 View on Map",
"SHUBHAM NIWAS, Mahabaleshwar",Mahabaleshwar,India,,4.4/5,"Free Internet,Travel Assistance,Laundry Service,Room Service,","SHUBHAM NIWAS, Bhose Khind Panchgani Road Mahabaleshwar - 412805 View on Map",The property was amazing and peaceful. Excellent room with homely atmosphere.
Aagaman Inn Homestay,Alleppey,India,,,"Laundry Service,Daily housekeeping,Internet,","Aagaman , kaniyam kulam Jn , kaithavana Alleppey, Aswathi Jn. ,Kalarcode, Pazhaveedu, - 688003 View on Map",
Trendy Bed and Breakfast,Delhi,India,,4.3/5,"Power backup,Laundry Service,CCTV surveillance,Daily housekeeping,","9 B Mathura Road,Jangpura, Delhi. Near Nizamuddin railway station. - 110014 View on Map",Great place fr the price and loved the hospitality by Mr sachin .
Hotel Peak View,Mussoorie,India,,3/540,"Daily housekeeping,","Camel's back Road, Kulari, Mussoorie - 248179 View on Map","the food quality and service both are so poor,,
lil bit dissapointed"
Hotel Aryan,Roorkee,India,,3.2/5,"Daily housekeeping,Room Service,Internet,","Delhi Haridwar Road, Double Fhatak , Dehradun Road , Roorkee, 247667 View on Map","i was denied check in, hotel manager said all rooms are booked for marriage function."
Hyson Heritage,Calicut,India,,4.1/5,"Free Internet,Air Conditioning,Parking Facility,Conference Room,",PB No 114 Bank Road Kozhikode - 673001 View on Map,"Clean rooms, co-operative staff and nice place. Locality beautiful, highly recommend 👍"
Hotel Akash,Dharamshala,India,,3.8/5,"Restaurant/Coffee Shop,Laundry Service,CCTV surveillance,Dining,","Hotel Akash Jogiwara Road, Mcleodganj , Dharmsala - 176219 View on Map","rooms were pretty neat and clean. great value for money. staff were pretty helpful. perfect place to stay
staff were very helpful"
Hotel Rajnandini,,,,2.9/5,"Doctor On Call,Air Conditioning,Room Service,Restaurant/Coffee Shop,","304 Post Office Road, Near Habra Station (80 km from Kolkata), North 24 Parganas, Habra, Barasat - 743263 View on Map",I have stayed in the property and my overall stay was very nice there. Hotel staffs behaved properly and the hotel amenities were also fine. Location was convenient for me. 
HOTEL HILROZ,Amritsar,India,,4/550,"Air Conditioning,Parking Facility,Laundry Service,CCTV surveillance,","133, CITY CENTER OPP MAIN BUS STAND Near Golden Temple, Amritsar - 143001 View on Map","nice location near to bus stand
comparative staff
neat and clean rooms"
Hotel Dee Sons,Amritsar,India,,3.4/5,"Power backup,Restaurant/Coffee Shop,Laundry Service,CCTV surveillance,","Adjoining Railway Station, Opposite Canal Office, Near Railway station, G.T. Road, Amritsar, 143001 View on Map","The Hotel Dee Son's not provide me the Deluxe Room as per my booking.
A.C not working.
The Hotel provide me a ordinary room after a lot of requests.
The Hotel staff and owner says that my booking is not valid and go outside or choose other room in our tarrif plan **hotel service is very very poor."
Moonlight Bay Guest House,Goa,India,,,"Doctor On Call,Air Conditioning,Parking Facility,","Near Car Park, Candolim Beach, Bardez - Goa - 403515 View on Map",
Hotel Suryodaya,Ujjain,India,,4.3/5,"Doctor On Call,Free Internet,Air Conditioning,Laundry Service,","61,Mahakal Sindhi Colony near maa kalika dairy subhash nagar chouraha sanwer road, Ujjain, MP 456010 View on Map","good Stay
nice place"
Hotel The Pine View,Patnitop,India,,3/517,"Daily housekeeping,","Poonch House, National Highway,Patnitop - 180001 View on Map",Good but not full value of money
Hotel Yamini,Palampur,India,,4/565,"Parking Facility,Laundry Service,Dining,Spa,","SH 17, Sugghar, Palampur, 176061 View on Map",Hotel is In the Heart of City and is easily locatable. Spacious and Clean Rooms. Good room service. Good parking space.
The Fern Creek,Kodaikanal,India,,4.6/5,"Doctor On Call,Indoor Entertainment,Parking Facility,Outdoor Activities,","212/118 Fern Hill Road, Kodaikanalal - 624101 View on Map","very nice and dream hotel to stay..
everyone will like it..
best for couples..
wonderful place to stay..
thanks to fern creek.."
Blue Stone Lodge,,,,3.7/5,"Air Conditioning,Parking Facility,Power backup,Daily housekeeping,",Laxmanpur near helipad ground Neil Island south andaman - 744104 View on Map,Very descent hotel to stay. Located near Laxmanpur Beach 1 and well connected to everywhere in this island.
Houseboat Juliet,Srinagar,India,,,"Laundry Service,Dining,Daily housekeeping,Room Service,","Ghat NO, Dal Lake, Srinagar - 190001 View on Map",
Hotel Raj Palace,Amritsar,India,,2/51 ,"Laundry Service,Power backup,","Plot 8 No Shivala Bhaia Road, Amritsar - 143001 View on Map",
BWDA Resort,Kutralam,India,,1.3/5,"Power backup,Parking Facility,Laundry Service,Dining,",Old Courtalam Falls Road Tenkani - 627802 View on Map,it not a resort some company guest house no facility nothing horrible stay no food please don't stay
Hotel Pandit,Chittorgarh,India,,3.5/5,"Power backup,Laundry Service,CCTV surveillance,Room Service,","A-11, Meera Market, Chittaurgarh - 334001 View on Map","Room is small, but for a single person, it's quite fine, service is good, well situated at the center and staff and manager was treated in a good manner, would like to stay in future also...👍🏻"
Houseboat New Suzan,Srinagar,India,,3.9/5,"Power backup,Laundry Service,Indoor Entertainment,Dining,","Dal Lake, Ghat No, Srinagar - 190001 View on Map","The Boat house is new. Average Accommodation. Food is too expensive. I was charged 480 for Rice, dhal & egg curry for 2 person."
Hotel Legend Grand,Vishakhapatnam,India,,3.2/5,"Power backup,Restaurant/Coffee Shop,Laundry Service,CCTV surveillance,","30-12-31, Ranga St, Beside Nellore Mess, Daba Gardens, Allipuram, Visakhapatnam - 530020 View on Map",Worst experience worst rooms... please First look the room and then pay for it worst experience ever.... room smells bad... waste of money no minimum services
Dayal Regency Manesar,Manesar,India,,3.8/5,"Power backup,Restaurant/Coffee Shop,Laundry Service,CCTV surveillance,","479 sector 1 ,Main Road, Sec- I IMT Manesar - 122002 View on Map","The stay was comfortable and the service was nice by the workers there, had the food in the restaurant and it was nice, I didn't get time to explore more about the stay and i think its quite affordable because it was value for money hotel, there was free WiFi internet facility, and it is very near to the industrial area."
Camp Nature View,Rishikesh,India,,3.1/5,"Parking Facility,Laundry Service,Travel Assistance,Outdoor Activities,","Badal,Shivpuri, Rishikesh, 249201 View on Map",Staff were not good but owner were good. Amenities and services were good. There was dining facility but food was not good. Location was nice. No complimentary services were provided.
KUMBAKONAM HOME STAY,Kumbakonam,India,,4.3/5,"Power backup,Restaurant/Coffee Shop,Laundry Service,CCTV surveillance,","11/55 Anna Nagar, (Near Kasiraman St.,) Kumbakonam ... - 612001 View on Map",Everything was good.
Hotel M.L.Palace,Katra,India,,3/55 ,"Dining,Power backup,Room Service,","Jammu Road,Katra - 182301 View on Map",good hotel for stay with family.
HILL VIEW 3 BHK COTTAGE,,,,4.4/5,"Air Conditioning,Power backup,Outdoor Activities,Room Service,","2D/4G, GOLD VALLEY, SECTOR-D, NEW TUNGARLI, Lonavala. (hill view cottage.) - 410401 View on Map","Nice place to stay, enjoyed will visit again"
Ritz Riveria,Haldia,India,,3.9/5,"Doctor On Call,Air Conditioning,Travel Assistance,Room Service,","44, Stadium Nagar, Stadium Colony, Mukundapur, Kolkata, 700099, Haldia View on Map",Not professional. Food is OK. Rooms are not clean at all..
Bamboo Grove Retreat,Gangtok,India,,3.4/5,"Laundry Service,Free Internet,Power backup,Daily housekeeping,","Kazi road , Gangtok - 737101 View on Map",Cosy well maintained spacious rooms. Overall it was a nice experience
Hotel Vasundhra Residency,Dhanbad,India,,,"Parking Facility,","Near Basundra Area Chiragora Hari Mandir Road Opposite to Harimandir,Dhanbad - 826001 View on Map",
Akshaya Hotel,Chidambaram,India,,3.8/5,"Free Internet,Conference Room,Banquet hall,Laundry Service,","17,18 East Car Street, Chidambaram - 608001, TamilNadu View on Map",Rooms are very good. Food was very good. Hotel is very near to Nataraja temple. Service was good. Overall it was a nice experience for me
Blooms 2,Gurgaon,India,,4.1/5,"Power backup,Parking Facility,Laundry Service,CCTV surveillance,","Plot no-1320, Paras Hospital Road, Opposite Shalom Hills School, Sector-43, Gurgaon - 122002 View on Map","very good stay- hotel held up the room inspite of our very late checkin of 2 am next day and it was a smooth experience.
breakfast was good- for kids also the room was pretty safe and value for money"
Sea Star Resort,Mandarmani,India,,3.7/5,"Free Internet,Swimming Pool,Indoor Entertainment,Conference Room,","Mamdarmoni, Kalindi, East Medinipur, Mandarmani - 721101 View on Map",Nice and Cooperative staffs. Right on the beach. Food quality was also good. Enjoyed the stay. 
Hotel Karan Palace,Mumbai,India,,4/522,"Doctor On Call,Air Conditioning,Parking Facility,Laundry Service,","Plot No,Hotel Karan Palace,Sonawala Road ,Goregaon East, Mumbai - 400063 View on Map",Nice hotel. Convenient location and delicious food. Hotel staff is very cooperative. Rooms r neat and clean.
Hotel Sanwariya Palace,Bhopal,India,,2.5/5,"CCTV surveillance,Power backup,Daily housekeeping,Room Service,","Nh-12,Opp Sainik Petrol Pump,Mandideep ,Bhopal (M.P) - 462016 View on Map","nice one gest house and food facility also available near gest house
Hmm"
Tigers Heaven Resort,Warora,India,,4/52 ,"Free Internet,Air Conditioning,Parking Facility,Outdoor Activities,","Tadoba National Park, Navegaon Gate ( Khadsangi, Chimur, India, Warora - 442906 View on Map",Nice hotel I think one time should be I leave in there.
Hotel Laxmi G H,Shirdi,India,,3.9/5,"Air Conditioning,Indoor Entertainment,Room Service,","Behind Hotel Pilgrims Inn, Near Gate No, Shirdi - 423109 View on Map",the hotel is Very nice...
Rudra Holidays,Goa,India,,4.1/5,"Power backup,Room Service,Business Services,Restaurant/Coffee Shop,","Arambol Beach, pernem North Goa - 403524 View on Map",very nice room very clean
Hegde Residency,Sringeri,India,,2.8/5,"Doctor On Call,Laundry Service,CCTV surveillance,Power backup,","NH 13,Sringeri-Karkala Road,Srinagara,Chickmagalur District - 577139 View on Map","According to the location didn't faced any issue while reaching there, staffs & services were good and neatness & cleanness was also up to the mark. Overall I was satisfied with the stay and had a good experience."
Rishi Ganga Residency,Tehri,India,,,"Doctor On Call,Laundry Service,CCTV surveillance,Power backup,","Opp.Bank Of Baroda,new Tehri - 249001 View on Map",
Hotel New Krishna Palace,Katra,India,,2.7/5,"Doctor On Call,Power backup,Parking Facility,Laundry Service,","Near Dak Bangla,Chintamani ,Upper Bazar, Katra - 182301 View on Map",... behavier of hotel staff was very bad. they are not cooperate with any of guest. very bad services. not suggest to book that hotel.
New Sea Palace Houseboats,Srinagar,India,,4.5/5,"Power backup,Parking Facility,Laundry Service,Travel Assistance,","Dal Lake , ghat no.12 Near Passport Office, Srinagar - 190001 View on Map",Fantastic HB very caring and gentleman owner Ali Bhai. Great facilities beautiful bathroom and superb services. I will prefer to stay always with Ali Bhai. Great hospitality 😊
Lamore Cottages,Goa,India,,3.8/5,"Power backup,Restaurant/Coffee Shop,Laundry Service,CCTV surveillance,","Survey No. 216, Ashwem Beach, Pernem, Goa - 403512 View on Map","We stayed here for 3 Nights (my family & my bestie family ) in wooden cottages.Cottages were neat and clean ,But hot water facility was not great . They do have very small geaser in which hot water lasts for just 20Sec.Even though they maintained well we found a frog inside the cottage for 2 days.They managed to take out the frog immediately as soon as we informed. I could rate 3 for cottages.
Food was good & Service was great by Mr. Amit & Prem. I could rate 4.5 for food & Service.
Beach view w ...more"
Houseboat Ramzana,Srinagar,India,,4.7/5,"Power backup,Daily housekeeping,Room Service,","Nigeen Lake, opposite nigeen club, shikara ghat no.1, Srinagar - 190001 View on Map",Photoreview
Hotel Belanibas,Digha,India,,3.2/5,"Air Conditioning,Daily housekeeping,","Old Digha, Foreshore road, Purba Medinipur - 721428 View on Map","nice budget hotel..
on road.. near old Digha bus stand.."
Hotel Bulbul,Sonipat,India,,4/528,"Doctor On Call,Free Internet,Air Conditioning,Parking Facility,","207, 1st Floor, Model Town, Atlas Road, Sonipat - 131001 View on Map","poor condition of room, AC was not working properly. toilet was not clear, service was v slow"
The Ummaid Bagh Resorts,Bundi,India,,3.8/5,"Doctor On Call,Free Internet,Indoor Entertainment,Outdoor Activities,","Baanganga Road, Near Jait Sagar Lake, 323001, Bundi View on Map","good surrounding.
good staff.
silence and peace with lots of greenery.
the place is a bit hard to find and a bit hard to reach, but worth a visit."
Hotel Kumar International,Amritsar,India,,2.2/5,"Doctor On Call,Free Internet,Room Service,Front desk,","Albert Road Near Golden Temple, Amritsar - 143001 View on Map","poor service and Dirty Rooms
poor service and Dirty Rooms"
Srishty Garden Resorts,Kutralam,India,,3.6/5,"Doctor On Call,Power backup,Laundry Service,CCTV surveillance,","145, Old Courtalam, Ayiraperi, Tenkasi P.O Thirunelveli, - 627814 View on Map",It was a very good stay and the location was very convenient to locate.Staffs & services were good and it was neat & clean as well.Overall had a good time with my family in this hotel.
Pritams Cottages,Goa,India,,3.6/5,"CCTV surveillance,Air Conditioning,Kitchen,Room Service,",H. no 119/3 Palolem Canacona Goa - 403702 View on Map,"Rooms are good, and we enjoyed holidays. Near the beach which is amazing beach of goa. Recommended
Secure for couple."
Shanthana Residency Coorg,Coorg,India,,3.1/5,"Air Conditioning,Business Services,CCTV surveillance,Indoor Entertainment,","BM Road ,Near Nishrghadhama ,Kushalnagar, Coorg - 571234 View on Map",the location of this stay is quite isolated and it is far from must visit places in coorg
Hotel Silver Residency,Vadodara,India,,2.1/5,"Air Conditioning,Parking Facility,Room Service,Restaurant/Coffee Shop,","Opp. R.T.O OFFICE, Gurukrupa society, Chhota udepur - 391165, Vadodara View on Map","Earlier there was no dustbin, doormat, telephone, TV inside the room. After having words with Manager, they shifted us to different room but still room quality was not so good but better than previous one.
They only thing is hotel's staff and management is very nice and cooperative. They listen and act accordingly. So overall I give 3 star."
Houseboat Signet,Srinagar,India,,4.8/5,"Doctor On Call,Restaurant/Coffee Shop,Laundry Service,Dining,","Houseboat Signet : Nigeen Lake Srinagar, Lake area 190001 View on Map",Awesome stay in this hotel didn't find any thing that could rate this hotel down. 
Swanpanlok Resorts,,,,1.6/5,"Doctor On Call,Air Conditioning,Laundry Service,Room Service,","Village Sanjharia, Before Toll Gate, Via Vatika City Thikaria, 22 Milestone, Jaipur Ajmer highway - 302026 View on Map",For stay worst service ever experienced in hotel.staff don't have manners to talk.
Mhatre Wadi Holiday Resort,Alibaug,India,,4/51 ,"Laundry Service,Air Conditioning,Parking Facility,Daily housekeeping,","Mhatre Wadi holiday resort, Bhavani shankar Road, Varsoli, Near Varsoli Beach, Varsoli-Alibag, 402201 View on Map",
Winter Vale Green Stay,Vagamon,India,,4.4/5,"Free Internet,Swimming Pool,Indoor Entertainment,Conference Room,","Kurisumala Ashramam Junction, Near Forest Check-post, Vazhikkadavu, Vagamon - 685503 View on Map","it's nice staying there . Good ambience and clean rooms. decent food also. other amenities like,pool and indoor sports also nice "
Hotel Chelsea,Manali,India,,2.5/5,"Laundry Service,Free Internet,Room Service,","Model Town,Manali - 175131 View on Map",Rooms size are to small not looks like a deluxe rooms.
Hotel Kings Gateway,Bengaluru,India,,1.6/5,"Power backup,Laundry Service,CCTV surveillance,Daily housekeeping,","01 P and T Colony, RT Nagar main road Bangalore, Bengaluru - 560032 View on Map",very bad management.room is fedup.toilet is not cleaned.water problem.bad service.plz try other hotel.3rd floor without lift..
Hotel Atithi,Guwahati,India,,4.4/5,"Doctor On Call,Free Internet,Air Conditioning,Parking Facility,","7 AK Azad road, Opp Nepali Mandir. Paltan Bazar, Guwahati. - 781008 View on Map","Very Good Hotel in Guwahati. good service and food.located near the Guwahati station. Good for family and business trips.
Good location + Clean rooms + Good service"
Little green apartment 3,Kolkata,India,,4/538,"Power backup,Laundry Service,Dining,Room Service,","Vinayak Residency, 6/5D, Anil Moitro Road, Near South Point High School, Opp BESCO, Ballygunge, Kolkata - 700019 View on Map","good hotel, it's a apartment but best, staff is very friendly"
shahi palace hotel,Jaisalmer,India,,4.1/5,"Air Conditioning,Business Services,Restaurant/Coffee Shop,Laundry Service,","Behind HDFC bank, Shiv road , Jaisalmer -345001 View on Map",Best Budget Hotel. Nice clean and spacious rooms with minimal but beautiful interiors. Had a pleasant stay. Very near to the main road and the road up to the fort. The only setback to the property is its location inside a lane which is dirty. Service was very good and prompt. Cheers!
Nilayam Heritage,Orchha,India,,3.5/5,"Doctor On Call,Free Internet,Air Conditioning,Indoor Entertainment,","Bypass Road , Near Telephone Exchange, Orchha, Pin Code : 472246 View on Map",our stay was warm and comfortable. we got 6 rooms in a row which was more convenient. Staff is nice and listens to the guest on one request . thank you Nilayam Heritage Team
Hotel Shree Giriraj Palace,Jaisalmer,India,,4/549,"Doctor On Call,Power backup,Restaurant/Coffee Shop,Laundry Service,","Nagpur House,Near Fort 1st Gate, Gopa Chowk, Jaisalmer - 345001 View on Map",I recommend this hotel. It is near fort. My overall experience was very good and staff very cooperative. It is safe for family. Main market is walking distance.
SHREE VENKATESHWARA HOTEL,Hyderabad,India,,4/548,"Doctor On Call,Free Internet,Laundry Service,Spa,","beside lakdikapul Metro Station, Hyderabad - 500004 View on Map","centrally located, just beside Metro station,bus stop,neat and clean room, good staff, and tasty food...but less hot water supply"
Bareilly Palace,Bareilly,India,,3.9/5,"Free Internet,Air Conditioning,Indoor Entertainment,Conference Room,","228, Civil Lines, Station Road, Bareilly - 243001 View on Map","no doubt hotel is good and near to railway station on walking distance.but it has old fashion.
but its clean
room are spacious"
